

Inorder traversal of the Parse Tree:

Node                      Token                     ID                        L-Child                   R-Child                  
338                       data_type                 int                       NULL                      NULL                     
339                       variable                  t1                        NULL                      NULL                     
340                       param                     (null)                    338                       339                      
341                       opt_param_list            (null)                    340                       NULL                     
342                       opt_param_list            (null)                    337                       341                      
343                       opt_param_list            (null)                    334                       342                      
344                       param_list                (null)                    331                       343                      
346                       variable                  i                         NULL                      NULL                     
347                       variable                  m                         NULL                      NULL                     
348                       tmp                       (null)                    NULL                      NULL                     
349                       opt_declaration           (null)                    347                       348                      
350                       tmp                       (null)                    NULL                      349                      
351                       var_declaration           (null)                    346                       350                      
352                       ICONSTANT                 0                         NULL                      NULL                     
353                       IDENTIFIER                dto                       352                       NULL                     
354                       variable                  t1                        NULL                      NULL                     
355                       IDENTIFIER                dto                       354                       NULL                     
358                       assignment_tmp            (null)                    353                       355                      
356                       DCONSTANT                 0.                        NULL                      NULL                     
357                       opt_assignment            (null)                    356                       NULL                     
359                       assignment                (null)                    358                       357                      
360                       statement_list            (null)                    351                       359                      
361                       variable                  m                         NULL                      NULL                     
362                       ICONSTANT                 0                         NULL                      NULL                     
363                       assignment_tmp            (null)                    361                       362                      
364                       assignment                (null)                    363                       NULL                     
365                       statement_list            (null)                    360                       364                      
366                       variable                  i                         NULL                      NULL                     
367                       ICONSTANT                 1                         NULL                      NULL                     
368                       assignment_tmp            (null)                    366                       367                      
369                       assignment                (null)                    368                       NULL                     
370                       variable                  i                         NULL                      NULL                     
371                       variable                  t1                        NULL                      NULL                     
372                       LT                        (null)                    370                       371                      
398                       tmp1                      (null)                    369                       372                      
373                       variable                  i                         NULL                      NULL                     
374                       INC                       (null)                    373                       NULL                     
375                       variable                  m                         NULL                      NULL                     
376                       ICONSTANT                 2                         NULL                      NULL                     
377                       ASSIGN_PLUS               (null)                    375                       376                      
378                       variable                  i                         NULL                      NULL                     
379                       IDENTIFIER                dto                       378                       NULL                     
380                       variable                  m                         NULL                      NULL                     
381                       IDENTIFIER                dfrom                     380                       NULL                     
382                       DCONSTANT                 5.d-1                     NULL                      NULL                     
383                       variable                  m                         NULL                      NULL                     
384                       ICONSTANT                 1                         NULL                      NULL                     
385                       MINUS                     (null)                    383                       384                      
386                       IDENTIFIER                dfrom                     385                       NULL                     
387                       variable                  m                         NULL                      NULL                     
388                       ICONSTANT                 1                         NULL                      NULL                     
389                       PLUS                      (null)                    387                       388                      
390                       IDENTIFIER                dfrom                     389                       NULL                     
391                       PLUS                      (null)                    386                       390                      
392                       expr                      (null)                    391                       NULL                     
393                       MULTIPLY                  (null)                    382                       392                      
394                       PLUS                      (null)                    381                       393                      
395                       assignment_tmp            (null)                    379                       394                      
396                       assignment                (null)                    395                       NULL                     
397                       statement_list            (null)                    377                       396                      
399                       tmp2                      (null)                    374                       397                      
400                       do_stmt                   (null)                    398                       399                      
401                       statement_list            (null)                    365                       400                      
402                       procedure                 coarsen                   344                       401                      
403                       data_type                 double                    NULL                      NULL                     
404                       IDENTIFIER                dfrom                     NULL                      NULL                     
405                       param                     (null)                    403                       404                      
406                       data_type                 int                       NULL                      NULL                     
407                       variable                  f1                        NULL                      NULL                     
408                       param                     (null)                    406                       407                      
409                       data_type                 double                    NULL                      NULL                     
410                       IDENTIFIER                dto                       NULL                      NULL                     
411                       param                     (null)                    409                       410                      
412                       data_type                 int                       NULL                      NULL                     
413                       variable                  t1                        NULL                      NULL                     
414                       param                     (null)                    412                       413                      
415                       opt_param_list            (null)                    414                       NULL                     
416                       opt_param_list            (null)                    411                       415                      
417                       opt_param_list            (null)                    408                       416                      
418                       param_list                (null)                    405                       417                      
420                       variable                  i                         NULL                      NULL                     
421                       variable                  m                         NULL                      NULL                     
422                       tmp                       (null)                    NULL                      NULL                     
423                       opt_declaration           (null)                    421                       422                      
424                       tmp                       (null)                    NULL                      423                      
425                       var_declaration           (null)                    420                       424                      
426                       variable                  m                         NULL                      NULL                     
427                       ICONSTANT                 0                         NULL                      NULL                     
428                       assignment_tmp            (null)                    426                       427                      
429                       assignment                (null)                    428                       NULL                     
430                       statement_list            (null)                    425                       429                      
431                       variable                  i                         NULL                      NULL                     
432                       ICONSTANT                 1                         NULL                      NULL                     
433                       assignment_tmp            (null)                    431                       432                      
434                       assignment                (null)                    433                       NULL                     
435                       variable                  i                         NULL                      NULL                     
436                       variable                  f1                        NULL                      NULL                     
437                       LT                        (null)                    435                       436                      
456                       tmp1                      (null)                    434                       437                      
438                       variable                  i                         NULL                      NULL                     
439                       INC                       (null)                    438                       NULL                     
440                       variable                  m                         NULL                      NULL                     
441                       variable                  m                         NULL                      NULL                     
442                       ICONSTANT                 2                         NULL                      NULL                     
443                       PLUS                      (null)                    441                       442                      
444                       assignment_tmp            (null)                    440                       443                      
445                       assignment                (null)                    444                       NULL                     
446                       variable                  m                         NULL                      NULL                     
447                       IDENTIFIER                dto                       446                       NULL                     
448                       variable                  m                         NULL                      NULL                     
449                       IDENTIFIER                dto                       448                       NULL                     
450                       variable                  i                         NULL                      NULL                     
451                       IDENTIFIER                dfrom                     450                       NULL                     
452                       PLUS                      (null)                    449                       451                      
453                       assignment_tmp            (null)                    447                       452                      
454                       assignment                (null)                    453                       NULL                     
455                       statement_list            (null)                    445                       454                      
457                       tmp2                      (null)                    439                       455                      
458                       do_stmt                   (null)                    456                       457                      
459                       statement_list            (null)                    430                       458                      
460                       variable                  m                         NULL                      NULL                     
461                       ICONSTANT                  -1                       NULL                      NULL                     
462                       assignment_tmp            (null)                    460                       461                      
463                       assignment                (null)                    462                       NULL                     
464                       statement_list            (null)                    459                       463                      
465                       variable                  i                         NULL                      NULL                     
466                       ICONSTANT                 0                         NULL                      NULL                     
467                       assignment_tmp            (null)                    465                       466                      
468                       assignment                (null)                    467                       NULL                     
469                       variable                  i                         NULL                      NULL                     
470                       variable                  f1                        NULL                      NULL                     
471                       LT                        (null)                    469                       470                      
498                       tmp1                      (null)                    468                       471                      
472                       variable                  i                         NULL                      NULL                     
473                       INC                       (null)                    472                       NULL                     
474                       variable                  m                         NULL                      NULL                     
475                       variable                  m                         NULL                      NULL                     
476                       ICONSTANT                 2                         NULL                      NULL                     
477                       PLUS                      (null)                    475                       476                      
478                       assignment_tmp            (null)                    474                       477                      
479                       assignment                (null)                    478                       NULL                     
480                       variable                  m                         NULL                      NULL                     
481                       IDENTIFIER                dto                       480                       NULL                     
482                       variable                  m                         NULL                      NULL                     
483                       IDENTIFIER                dto                       482                       NULL                     
484                       DCONSTANT                 .5                        NULL                      NULL                     
485                       variable                  i                         NULL                      NULL                     
486                       IDENTIFIER                dfrom                     485                       NULL                     
487                       variable                  i                         NULL                      NULL                     
488                       ICONSTANT                 1                         NULL                      NULL                     
489                       PLUS                      (null)                    487                       488                      
490                       IDENTIFIER                dfrom                     489                       NULL                     
491                       PLUS                      (null)                    486                       490                      
492                       expr                      (null)                    491                       NULL                     
493                       MULTIPLY                  (null)                    484                       492                      
494                       PLUS                      (null)                    483                       493                      
495                       assignment_tmp            (null)                    481                       494                      
496                       assignment                (null)                    495                       NULL                     
497                       statement_list            (null)                    479                       496                      
499                       tmp2                      (null)                    473                       497                      
500                       do_stmt                   (null)                    498                       499                      
501                       statement_list            (null)                    464                       500                      
502                       procedure                 refine_add                418                       501                      
503                       statement_list            (null)                    402                       502                      
504                       variable                  t1                        NULL                      NULL                     
505                       variable                  f1                        NULL                      NULL                     
506                       ICONSTANT                 2                         NULL                      NULL                     
507                       DIVIDE                    (null)                    505                       506                      
508                       DEQ                       (null)                    504                       507                      
509                       variable                  dfrom                     NULL                      NULL                     
510                       variable                  f1                        NULL                      NULL                     
511                       variable                  dto                       NULL                      NULL                     
512                       variable                  t1                        NULL                      NULL                     
513                       opt_arg_list              (null)                    511                       512                      
514                       opt_arg_list              (null)                    510                       513                      
515                       arg_list                  (null)                    509                       514                      
516                       function_call             coarsen                   515                       NULL                     
517                       variable                  t1                        NULL                      NULL                     
518                       variable                  f1                        NULL                      NULL                     
519                       ICONSTANT                 2                         NULL                      NULL                     
520                       MULTIPLY                  (null)                    518                       519                      
521                       DEQ                       (null)                    517                       520                      
536                       tmp                       (null)                    NULL                      NULL                     
537                       if_else                   (null)                    521                       536                      
538                       tmp                       (null)                    516                       537                      
539                       if_else                   (null)                    508                       538                      
540                       statement_list            (null)                    503                       539                      
541                       ICONSTANT                 1                         NULL                      NULL                     
542                       return_stmt               (null)                    541                       NULL                     
543                       statement_list            (null)                    540                       542                      
544                       tmp                       (null)                    328                       543                      
545                       function                  interpolate               312                       544                      
546                       function_list             (null)                    311                       545                      
547                       data_type                 int                       NULL                      NULL                     
549                       variable                  rval                      NULL                      NULL                     
550                       ICONSTANT                 0                         NULL                      NULL                     
551                       opt_assignment            (null)                    550                       NULL                     
552                       tmp                       (null)                    551                       NULL                     
553                       var_declaration           (null)                    549                       552                      
555                       variable                  fm1                       NULL                      NULL                     
556                       ICONSTANT                 1                         NULL                      NULL                     
557                       opt_assignment            (null)                    556                       NULL                     
558                       variable                  cm1                       NULL                      NULL                     
559                       tmp                       (null)                    NULL                      NULL                     
560                       opt_declaration           (null)                    558                       559                      
561                       tmp                       (null)                    557                       560                      
562                       var_declaration           (null)                    555                       561                      
563                       statement_list            (null)                    553                       562                      
565                       variable                  enorm                     NULL                      NULL                     
566                       tmp                       (null)                    NULL                      NULL                     
567                       var_declaration           (null)                    565                       566                      
568                       statement_list            (null)                    563                       567                      
569                       variable                  fm1                       NULL                      NULL                     
570                       ICONSTANT                 4                         NULL                      NULL                     
571                       LEQ                       (null)                    569                       570                      
572                       variable                  fm1                       NULL                      NULL                     
573                       ICONSTANT                 2                         NULL                      NULL                     
574                       MOD                       (null)                    572                       573                      
575                       ICONSTANT                 0                         NULL                      NULL                     
576                       NE                        (null)                    574                       575                      
577                       DOR                       (null)                    571                       576                      
578                       K_PRINT_STRING            (null)                    NULL                      NULL                     
579                       SCONSTANT                 "Number of points in the fine mesh (must be even and atleast 6) " NULL                      NULL                     
580                       print_stmt                (null)                    578                       579                      
581                       K_READ_INTEGER            (null)                    NULL                      NULL                     
582                       variable                  fm1                       NULL                      NULL                     
583                       read_stmt                 (null)                    581                       582                      
584                       statement_list            (null)                    580                       583                      
585                       while_stmt                (null)                    577                       584                      
586                       statement_list            (null)                    568                       585                      
587                       variable                  cm1                       NULL                      NULL                     
588                       variable                  fm1                       NULL                      NULL                     
589                       ICONSTANT                 2                         NULL                      NULL                     
590                       DIVIDE                    (null)                    588                       589                      
591                       assignment_tmp            (null)                    587                       590                      
592                       assignment                (null)                    591                       NULL                     
593                       statement_list            (null)                    586                       592                      
594                       K_PRINT_STRING            (null)                    NULL                      NULL                     
595                       SCONSTANT                 "Fine   mesh points 0:"   NULL                      NULL                     
596                       print_stmt                (null)                    594                       595                      
597                       statement_list            (null)                    593                       596                      
598                       K_PRINT_INTEGER           (null)                    NULL                      NULL                     
599                       variable                  fm1                       NULL                      NULL                     
